"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\AppController.cs", "C#", 31, 0, 0, 0, 0, 7, 38
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\Controller.csproj", "XML", 0, 8, 0, 0, 0, 4, 12
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\bin\Debug\net5.0\Controller.deps.json", "JSON", 0, 0, 1722, 0, 0, 0, 1722
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\Controller.csproj.nuget.dgspec.json", "JSON", 0, 0, 150, 0, 0, 0, 150
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\Controller.csproj.nuget.g.props", "XML", 0, 23, 0, 0, 0, 0, 23
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\Controller.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\Debug\net5.0\Controller.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\Debug\net5.0\Controller.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Controller\obj\project.assets.json", "JSON", 0, 0, 5790, 0, 0, 0, 5790
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\AppRepo.cs", "C#", 91, 0, 0, 0, 0, 14, 105
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Entities\Restaurant.cs", "C#", 17, 0, 0, 0, 0, 5, 22
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Entities\Review.cs", "C#", 15, 0, 0, 0, 0, 4, 19
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Entities\User.cs", "C#", 18, 0, 0, 0, 0, 5, 23
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Entities\revtrainingdbContext.cs", "C#", 74, 0, 0, 0, 0, 18, 92
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Model.csproj", "XML", 0, 16, 0, 0, 0, 4, 20
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Restaurant.cs", "C#", 6, 0, 0, 0, 0, 1, 7
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\Review.cs", "C#", 6, 0, 0, 0, 0, 1, 7
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\User.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\bin\Debug\net5.0\Model.deps.json", "JSON", 0, 0, 1758, 0, 0, 0, 1758
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\bin\Debug\net5.0\Model.runtimeconfig.dev.json", "JSON", 0, 0, 10, 0, 0, 0, 10
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\bin\Debug\net5.0\Model.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Debug\net5.0\Model.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Debug\net5.0\Model.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Model.csproj.EntityFrameworkCore.targets", "XML", 0, 25, 0, 0, 0, 1, 26
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Model.csproj.nuget.dgspec.json", "JSON", 0, 0, 86, 0, 0, 0, 86
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Model.csproj.nuget.g.props", "XML", 0, 27, 0, 0, 0, 0, 27
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\Model.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\Model\obj\project.assets.json", "JSON", 0, 0, 5882, 0, 0, 0, 5882
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\MainMenu.cs", "C#", 96, 0, 0, 0, 0, 23, 119
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\Program.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\View.csproj", "XML", 0, 16, 0, 0, 0, 5, 21
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\bin\Debug\net5.0\View.deps.json", "JSON", 0, 0, 1772, 0, 0, 0, 1772
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\bin\Debug\net5.0\View.runtimeconfig.dev.json", "JSON", 0, 0, 10, 0, 0, 0, 10
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\bin\Debug\net5.0\View.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\Debug\net5.0\View.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\Debug\net5.0\View.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\View.csproj.EntityFrameworkCore.targets", "XML", 0, 25, 0, 0, 0, 1, 26
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\View.csproj.nuget.dgspec.json", "JSON", 0, 0, 225, 0, 0, 0, 225
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\View.csproj.nuget.g.props", "XML", 0, 26, 0, 0, 0, 0, 26
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\View.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\sloan\Desktop\Projects\New Proj0 Rest\View\obj\project.assets.json", "JSON", 0, 0, 5879, 0, 0, 0, 5879
"Total", "-", 416, 184, 23302, 24, 33, 116, 24075
